id,zipcode,lot-len,lot-width,lot-area,house-area,garden-size,balcony,x-coor,y-coor,buildyear,bathrooms,taxvalue,retailvalue,energy-eff,monument
1,3520,58,10.7,621,90,547,1,2381,5371,1984,1,157200,220000,1,0
2,3520,53.6,18.2,976,124,900,1,2434,5414,1980,1,230800,304000,0,1
3,3520,9.2,14.7,135,93,59,1,2198,5165,1978,1,86100,132000,0,0
4,3520,17.8,13.5,240,131,181,1,2210,5428,1978,2,124600,182000,0,0
5,3520,19.3,15.7,303,124,225,1,2425,5381,1984,1,129900,193000,0,0
6,3520,24.6,12.5,308,89,231,0,2468,5182,1971,1,109600,164000,0,0
7,3520,18.9,16.9,319,85,243,1,2005,5334,1971,1,108900,159000,0,0
8,3520,40.8,18.7,763,91,713,1,2469,5462,1974,1,179100,243000,0,0
9,3520,83.9,10.7,898,145,848,1,2133,5151,1975,2,231700,293000,0,0
10,3520,28.1,16.6,466,112,416,1,2369,5253,1974,1,147100,205000,0,1
11,3520,24.8,15.7,390,103,335,1,2144,5169,1980,1,130300,182000,0,0
12,3520,26.4,15.2,401,94,332,1,2182,5392,1972,1,126600,181000,0,0
13,3520,12.5,11.3,141,153,81,0,2102,5366,1978,1,123000,176000,0,0
14,3520,17.7,17,301,143,212,1,2120,5261,1971,1,141000,196000,0,0
15,3520,35,17.1,599,157,502,1,2148,5374,1985,1,194100,256000,0,1
16,3520,30.7,14.3,439,131,339,0,2403,5312,1982,2,154500,216000,0,0
17,3520,43.9,15.7,690,92,640,0,2439,5358,1984,1,168700,232000,1,0
18,3520,49.2,19.7,970,149,883,1,2022,5105,1976,1,244900,304000,0,0
19,3520,48.1,19.5,938,96,870,1,2182,5289,1984,1,208300,271000,1,0
20,3520,37.3,11.2,418,105,341,0,2170,5086,1977,1,135700,183000,0,0
21,3525,18,12.5,225,173,169,0,2860,5875,2003,2,142600,166000,0,0
22,3525,70.1,10.6,743,91,648,0,2924,5767,1981,1,171100,197000,0,0
23,3525,41.7,19.8,825,138,738,1,2422,5604,1998,1,211600,273000,0,0
24,3525,58.4,13.6,794,176,695,0,2459,5873,1999,2,229700,280000,0,1
25,3525,33,13.1,432,158,349,1,2447,5707,1990,1,164600,214000,0,0
26,3525,46.1,14.3,659,147,565,0,2985,5841,1997,2,192100,215000,0,0
27,3525,75.3,11.6,873,130,808,1,2568,5858,1991,2,214000,258000,0,0
28,3525,28.8,17.8,513,138,425,1,2828,5950,1986,2,164800,186000,0,0
29,3525,57,14.1,803,131,705,1,2545,5785,1981,2,204100,251000,0,1
30,3525,45.5,17,773,171,684,1,2839,5989,1986,1,223600,251000,0,0
31,3525,13.6,12.2,166,159,106,1,2986,5544,2001,2,125300,155000,0,1
32,3525,39.9,12.9,515,140,435,0,2763,5604,2002,2,166300,206000,0,0
33,3525,60.4,10.6,640,94,588,0,2689,5523,1980,1,157400,203000,0,0
34,3525,53.3,13.2,704,153,643,0,2688,5826,1980,1,202400,241000,0,1
35,3525,27.9,14.2,396,179,300,1,2851,5937,1986,1,171800,197000,0,0
36,3525,81.3,10.7,870,140,818,0,2533,5890,1993,2,219500,264000,0,0
37,3525,42.8,14,599,130,545,0,2782,5893,1992,1,172900,200000,0,0
38,3525,39.1,17.3,677,111,609,0,2956,5712,1986,1,173200,200000,0,0
39,3525,26.9,18.2,490,134,440,1,2608,5816,1997,1,158900,195000,0,1
40,3525,33.2,13.2,438,172,352,0,2938,5693,1987,2,173900,203000,0,1
41,3528,7.9,16.5,131,82,64,1,2452,5243,1996,1,68900,118000,1,0
42,3528,6.6,17.7,116,101,64,1,2552,5935,2003,1,78000,116000,1,0
43,3528,7.3,18.7,136,118,73,1,2571,5765,2005,1,91200,135000,1,0
44,3528,12.1,11.2,135,82,51,1,2639,5864,1997,1,69500,106000,1,0
45,3528,9.3,14.4,134,80,36,1,2347,5660,1996,1,68100,115000,1,0
46,3528,10.6,14.1,149,85,94,1,2482,5708,2004,1,73400,119000,1,0
47,3528,12.6,11.7,148,89,50,1,2460,5659,1995,1,75600,123000,1,0
48,3528,9.3,15.1,140,91,55,1,2530,5803,2001,1,75600,118000,1,0
49,3528,9.5,13,123,110,60,1,2495,5671,2001,1,84500,132000,1,0
50,3528,7.7,14.9,115,96,43,1,2493,5542,2004,1,74900,124000,1,0
51,3528,6.4,18.5,119,88,39,1,2495,5988,1997,1,70700,108000,1,0
52,3528,7,17.4,121,95,67,1,2303,5847,2005,1,75200,117000,1,0
53,3528,6.9,18.8,129,99,33,1,2416,5770,2005,1,78800,125000,1,0
54,3528,10.7,13.7,146,105,76,1,2597,5806,2000,1,84900,126000,1,0
55,3528,10.7,11.4,122,97,61,1,2410,5693,1998,1,76500,124000,0,0
56,3528,7.2,19.1,138,100,47,1,2482,5557,1998,1,80700,131000,0,0
57,3528,7.5,17.1,129,87,73,1,2639,5877,2000,1,71600,108000,1,0
58,3528,6.6,18.5,123,108,31,1,2481,5572,1995,1,83300,133000,0,0
59,3528,8.2,15.8,129,96,68,1,2378,5733,2002,1,77000,124000,1,0
60,3528,9.9,14.6,145,115,54,1,2597,5867,2003,1,90800,132000,1,0
21,3800,65.7,17.5,1149,180,1068,1,2631,5103,2000,2,310400,375000,0,1
22,3800,34.1,19.6,669,121,597,0,2789,5401,1991,2,203000,258000,0,0
23,3800,57.2,11.3,646,146,552,1,2801,5393,1997,1,214500,270000,0,1
24,3800,66.9,14.3,957,215,888,1,2723,5202,2001,2,302600,366000,0,1
25,3800,54.7,19.2,1050,198,963,1,2741,5251,2007,1,306300,372000,0,1
26,3800,71.3,13.4,955,128,889,1,2777,5382,2004,2,250100,311000,1,0
27,3800,114.2,10.2,1165,185,1096,0,2689,5143,1993,2,315800,381000,0,1
28,3800,37.1,13.9,515,131,460,1,2865,5276,1996,2,185900,230000,0,1
29,3800,39.2,18.5,726,121,641,1,2814,5311,1996,2,211500,263000,0,1
30,3800,54.9,16,879,133,798,0,2768,5027,1994,1,241700,288000,0,0
31,3800,29.2,19.1,558,165,493,1,2613,5210,2006,1,212700,268000,1,1
32,3800,67.8,13.4,909,242,814,2,2622,5248,1994,1,311600,383000,0,0
33,3800,93.5,10.4,972,212,904,1,2919,5020,1997,2,303000,352000,0,1
34,3800,68.3,11.5,785,226,702,0,2947,5130,2008,1,283400,333000,0,0
35,3800,82.5,10.6,875,135,794,1,2873,5450,1995,1,242300,297000,0,0
36,3800,39.7,15.4,611,211,551,1,2957,5408,1996,1,248300,303000,0,1
37,3800,69.4,11.1,770,247,703,0,2770,5060,2002,2,293700,349000,0,0
38,3800,59.8,14.4,861,223,806,2,2746,5453,1996,2,293000,360000,0,1
39,3800,43.4,17.6,763,180,699,1,2960,5347,2003,2,252500,305000,0,1
40,3800,47,19.4,911,173,845,0,2913,5136,2001,2,270500,319000,0,0
81,3520,88.3,10.9,963,97,865,1,2156,5225,1970,1,212700,274000,0,0
82,3520,41.1,18.6,765,138,675,1,2484,5310,1974,1,207600,274000,0,1
83,3520,65.9,14.4,949,80,887,1,2132,5048,1975,1,200400,255000,0,0
84,3520,24.6,16.4,403,139,317,0,2211,5285,1982,2,153900,210000,0,0
85,3520,38.5,14.4,555,113,495,0,2440,5094,1985,1,161100,217000,0,0
86,3520,8.8,17,150,83,54,0,2389,5341,1982,1,82300,137000,1,0
87,3520,40.2,11.9,478,86,418,1,2423,5125,1975,1,133300,187000,0,0
88,3520,65.6,12.1,794,126,712,0,2152,5479,1983,2,204700,267000,0,1
